Date,VKOSPI,KOSPI200,Open_interest,For_KOSPI_Netbuying_Amount,For_Future_Netbuying_Quantity,For_Call_Netbuying_Quantity,For_Put_Netbuying_Quantity,Indiv_Future_Netbuying_Quantity,Indiv_Call_Netbuying_Quantity,Indiv_Put_Netbuying_Quantity,PCRatio,Day_till_expiration,Day_of_a_week
2012-01-18,23.79,247.81,1671465,4.47E+11,-2193,258,10661,844,17174,-4081,0.83,14,Wed
2012-01-19,22.94,247.82,1859579,7.43E+11,9960,12140,-4380,-3183,-49160,39517,0.98,13,Thu
2012-01-20,23.12,251.27,1962886,1.44E+12,3695,-18206,-35607,306,-746,82485,0.79,12,Fri
2012-01-25,23.89,256.61,2081300,9.39E+11,-145,-11443,15577,1513,17444,21962,0.98,11,Wed
2012-01-26,23.76,257.14,2411789,4.64E+11,1800,1908,15924,-1436,-87,22226,1.07,10,Thu
2012-01-27,23.83,257.52,2545065,5E+11,-1075,6217,29842,266,4483,-3295,0.99,9,Fri
2012-01-30,24.41,258.65,2591139,-76273797980,-187,-21211,2112,524,38256,-12461,1.02,8,Mon
2012-01-31,23.36,255.21,2705471,1.4E+11,-2306,9458,28290,793,6892,-20856,0.92,7,Tue
2012-02-01,23.44,256.9,2861269,4.16E+11,-83,15497,27058,-434,-9773,20989,0.74,6,Wed
2012-02-02,22.89,257.06,2965368,1.01E+12,-286,-26048,19771,-238,-5859,98303,1.03,5,Thu
2012-02-03,22.85,260.35,3040750,-1.22E+11,-534,24417,63791,-1325,61418,-16833,1.04,4,Fri
2012-02-06,23.45,258.53,3399319,1.77E+11,-1499,2967,-467,2031,54648,73808,1.13,3,Mon
2012-02-07,22.17,258.93,3595549,3.65E+11,339,15716,29641,-112,45938,47689,0.88,2,Tue
2012-02-08,21.36,259.8,3694141,3.97E+11,851,-4087,10110,-480,-42617,117971,0.71,1,Wed
2012-02-09,21.76,262.94,3927009,1.05E+11,-3032,-23363,96057,-138,123436,125446,0.97,0,Thu
2012-02-10,21.56,264.5,1170162,88275540125,-3520,21115,70801,2321,-17966,-23647,1.49,18,Fri
2012-02-13,21.32,261.17,1606789,1.68E+11,2240,13228,12862,-688,-19900,-23647,1.01,17,Mon
2012-02-14,20.23,262.75,1839815,20920027950,-2585,5838,-2762,-1009,826,-1893,1.16,16,Tue
2012-02-15,19.82,262.38,2092583,2.55E+11,1438,13724,46553,1125,-15761,-3201,0.94,15,Wed
2012-02-16,21.3,265.88,2285832,-53726065950,-522,24084,57400,-346,1689,-57797,1.38,14,Thu
2012-02-17,20.14,261.89,2511488,2.62E+11,2856,2409,-14099,-225,-19587,45875,0.96,13,Fri
2012-02-20,21,265.82,2573612,1.64E+11,-3874,-16916,12205,1949,36981,-8825,1.37,12,Mon
2012-02-21,21.17,265.95,2708751,1.29E+11,281,-10871,-11436,35,-3740,315,1.12,11,Tue
2012-02-22,21,265.89,2869285,3.1E+11,-505,-15484,1645,-27,4021,40048,1.17,10,Wed
2012-02-23,21.08,266.63,2986733,-14165477028,-1061,16267,11453,558,30583,-1741,1.07,9,Thu
2012-02-24,20.29,263.58,3175377,1.71E+11,1820,6443,12741,-922,-27020,34902,0.77,8,Fri
2012-02-27,21.54,265.2,3272721,-28750348495,-4018,20685,12901,570,102717,-31633,1.2,7,Mon
2012-02-28,20.34,261.3,3482004,-81335021575,6444,3945,13442,-4132,-42229,60999,0.86,6,Tue
2012-02-29,19.4,263.45,3499411,5.32E+11,266,11732,-28520,-1144,-43540,51830,0.76,5,Wed
2012-03-02,18.64,267.13,3439061,3.75E+11,502,-15316,64891,-86,56843,39202,1.08,4,Fri
2012-03-05,19.25,267.45,3730876,-47054127865,-5522,10254,57624,3767,101303,-172,1.23,3,Mon
2012-03-06,19.35,264.75,3992504,-2.26E+11,-3325,33202,65777,3184,113639,-12033,1.13,2,Tue
2012-03-07,20.85,262.85,4391771,-3.71E+11,-2460,22883,-10895,-623,85943,18354,0.85,1,Wed
2012-03-08,19.91,260.35,4660473,-4.21E+11,240,-47127,42865,-1702,79054,275188,1,0,Thu
2012-03-09,18.07,262.85,1071068,16642480110,-731,2427,6827,537,2449,13781,1.44,23,Fri
2012-03-12,18.87,265.62,1417693,-1.47E+11,216,-6207,8416,-338,-8562,-9289,1.4,22,Mon
2012-03-13,18.12,263.74,1561811,1.21E+11,5957,15136,27213,-988,-14064,14281,1.1,21,Tue
2012-03-14,18.28,266.9,1832736,5.36E+11,-1282,32967,30910,1550,-35667,-16238,1.42,20,Wed
2012-03-15,18.43,269.85,1976485,1.69E+11,-876,-4117,21024,1440,15683,-25888,1.15,19,Thu
2012-03-16,17.65,269.76,2137895,3.11E+11,-750,-17735,-6774,-308,15187,10140,1.16,18,Fri
2012-03-19,18.07,268.27,2224843,34506335480,742,6987,28180,-366,-15640,-4613,1.04,17,Mon
2012-03-20,17.87,270.27,2375909,12423003840,-2617,14773,-6180,1251,-13015,-6251,1.29,16,Tue
2012-03-21,17.73,269.68,2458482,-1.51E+11,-1176,7014,-4196,-23,13545,-13852,1.12,15,Wed
2012-03-22,17.37,267.79,2572320,-49870095352,-1735,-7478,5297,1381,3936,16725,1.03,14,Thu
2012-03-23,17.35,267.98,2655003,48105977763,-1755,7914,8280,-759,-130,7588,0.96,13,Fri
2012-03-26,17.87,267.95,2729602,-45072893637,-1132,6954,9391,58,25522,-6078,1.11,12,Mon
2012-03-27,17.1,267.41,2833628,3.45E+11,1934,-30091,-1419,-1382,-25269,57260,1.01,11,Tue
2012-03-28,17.44,270.71,2840670,-62217716215,-986,7718,32099,-54,23638,-19723,0.99,10,Wed
2012-03-29,17.78,269.64,2872678,37375811470,-3869,10791,1042,818,38451,-29710,1.22,9,Thu
2012-03-30,17.56,267.13,2943468,22072578620,-3629,-12417,12350,1914,51214,-8069,0.92,8,Fri
2012-04-02,17.4,266.58,3085308,-17724011391,4048,25226,25300,-3052,-55521,91621,1,7,Mon
2012-04-03,16.88,268.99,3153717,2.66E+11,10685,-32118,11975,-4427,-43244,130242,0.72,6,Tue
2012-04-04,17.32,272.46,3269060,2.26E+11,-2908,45053,18601,4302,105763,-50298,1.04,5,Wed
2012-04-05,17.19,268.33,3468139,2984724710,-5051,3501,20888,1571,44056,54899,0.79,4,Thu
2012-04-06,16.75,269.96,3686922,2.29E+11,-2719,-3184,11208,1058,30506,29642,0.91,3,Fri
2012-04-09,17.9,269.97,3904652,-57389483660,-3918,17990,24696,749,131564,-24038,0.98,2,Mon
2012-04-10,18.19,265.88,4109588,-82268329090,1473,41177,47918,38,23116,-11036,1,1,Tue
2012-04-12,19.04,265.38,4158709,-3.57E+11,-5903,-13034,12646,-474,324664,80104,0.94,0,Thu
2012-04-13,17.47,263.95,1106775,29429339020,4358,19967,-936,-590,-35631,10409,0.85,18,Fri
2012-04-16,18.54,266.86,1462251,-1.22E+11,-2615,6323,3784,-13,21013,-10433,0.75,17,Mon
2012-04-17,18.55,264.49,1690300,-3.01E+11,-1404,-5279,13057,-637,23024,-25295,0.64,16,Tue
2012-04-18,17.28,263.32,1862032,-1.22E+11,370,36437,20971,514,-32091,-8195,0.81,15,Wed
2012-04-19,17.29,266.22,2016345,-87281661905,-1291,-4002,3269,1166,22961,-4069,0.78,14,Thu
2012-04-20,17.81,265.58,2125865,-3.28E+11,-5879,9889,-1069,919,86726,-18791,0.86,13,Fri
2012-04-23,18.13,261.84,2372022,-1.22E+11,4280,2211,-10583,-1176,14879,19404,0.7,12,Mon
2012-04-24,18.47,261.66,2523725,9343822475,-6086,-5335,17430,2145,57916,-34454,0.62,11,Tue
2012-04-25,19.01,260.76,2684337,-2214848187,950,-3609,-7735,-640,-39,18305,0.84,10,Wed
2012-04-26,18.5,260.82,2867226,1.74E+11,2425,-7522,-23540,-456,11191,30275,1.05,9,Thu
2012-04-27,17.55,261.51,2889220,3.22E+11,2454,18232,-28570,-3002,-37272,47662,0.8,8,Fri
2012-04-30,17.31,263.43,2976472,3.13E+11,-2490,-3740,39357,1213,20285,-11294,0.9,7,Mon
2012-05-02,16.47,264.35,3152657,-1.32E+11,1485,-3021,12750,-1461,4119,69930,0.99,6,Wed
2012-05-03,16.02,266.61,3249735,-1.33E+11,2674,23479,19253,-1789,-2724,17285,0.85,5,Thu
2012-05-04,16.34,266.05,3420513,-96538868270,-4431,25466,52811,2655,51190,-34656,0.9,4,Fri
2012-05-07,18.57,264.4,3590660,-4.42E+11,361,18556,4374,-3427,111163,-41650,1.11,3,Mon
2012-05-08,17.28,259.73,3784612,-3.23E+11,3587,-13561,42121,485,-2194,87340,1.08,2,Tue
2012-05-09,18.28,261.12,3990339,-3.44E+11,-3859,-19810,26173,2660,121782,25717,1.27,1,Wed
2012-05-10,17.83,258.79,4238638,-2.08E+11,-7206,16130,39623,2066,153934,44277,0.9,0,Thu
2012-05-11,18.99,257.89,1474245,-1.67E+11,-1520,15453,16491,778,38151,-8575,1.03,17,Fri
2012-05-14,18.7,254,2017259,-1.57E+11,2440,-17683,-6795,-1105,27056,4983,0.96,16,Mon
2012-05-15,19,254.11,2268776,-1.84E+11,-1148,-8102,18075,1209,54264,-28717,0.92,15,Tue
2012-05-16,23.23,252.32,2495239,-4.91E+11,2009,935,-50453,-703,93352,-15144,1.02,14,Wed
2012-05-17,21.63,243.93,2783971,-51397318610,-223,-23462,-38571,-389,9667,18459,0.74,13,Thu
2012-05-18,25.43,244.48,2875991,-4.3E+11,4302,34476,-42098,-4144,52670,20331,0.9,12,Fri
2012-05-21,24.77,235.85,3052583,-57861622265,-36,-8173,-38277,-113,19988,28630,0.76,11,Mon
2012-05-22,21.66,238.62,3155743,-3872000074,-1187,-9948,-15280,-1480,-4619,16078,0.75,10,Tue
2012-05-23,23.24,242.66,3261515,-3.83E+11,850,18298,19805,-1104,-9916,-24633,0.98,9,Wed
2012-05-24,23.21,239.76,3388883,-2.32E+11,-2096,-16695,-16537,1219,12325,7214,0.82,8,Thu
2012-05-25,21.91,240.51,3481365,-1.35E+11,733,11475,-1741,305,-6213,6582,0.92,7,Fri
2012-05-29,21.61,241.6,3501791,29613320247,1970,18404,4499,-1339,14017,31585,0.65,6,Tue
2012-05-30,21.82,245.26,3759199,1.58E+11,-2053,1853,3752,811,19911,-12667,1,5,Wed
2012-05-31,22.69,244.68,3726406,-20203607307,1298,2969,21448,-1761,12964,-26923,0.81,4,Thu
2012-06-01,23.49,244.05,3850573,-2.01E+11,1147,52387,-16036,835,9373,38231,0.85,3,Fri
2012-06-04,26.6,242.98,3937696,-2.73E+11,8778,-31969,-19222,-3136,133618,-25950,0.85,2,Mon
